Front,Back
"What is the DNS name for Google Container Registry?","gcr.io"
"What types of images are typically found on Google Container Registry?","Kubernetes-related images and Google Cloud images"
"What command pulls the nginx image from Docker Hub?","docker pull docker.io/nginx:latest"
"What command pulls the tiller image version v2.11.0 from Google Registry?","docker pull gcr.io/kubernetes-helm/tiller:v2.11.0"
"What is the purpose of a Private Docker Registry?","Host images internally for proprietary applications"
"What is AWS's private container registry service called?","Amazon Elastic Container Registry (ECR)"
"What is Azure's private container registry service called?","Azure Container Registry (ACR)"
"What is GCP's private container registry service called?","Google Container Registry (GCR)"
"What is Step 1 for using a private Docker registry?","Login using ""docker login private-registry.io"""
"What command runs an image from a private registry?","docker run private-registry.io/apps/internal-app"
"What error message appears when trying to pull from a private registry without logging in?","Error response from daemon: pull access denied for private-registry.io/apps/internal-app"
"What command deploys a private Docker registry?","docker run -d -p 5000:5000 --name registry registry:2"
"What does ""registry:2"" refer to in the private registry deployment command?","Official Docker registry image"
"What port does the private registry expose its API on?","Port 5000"
"What does the ""-d"" flag do in the registry deployment command?","Runs in background (detached mode)"
"What does ""--name registry"" do in the registry deployment command?","Names the container ""registry"""
"Where is the deployed private registry accessible?","localhost:5000"
"What does the private registry provide after deployment?","REST API for push/pull operations"
"What is Step 1 for pushing an image to a private registry?","Tag the image with registry URL using ""docker image tag my-image localhost:5000/my-image"""
"What does ""docker image tag"" command do?","Tags an existing image with a new name"
"What is Step 2 for pushing an image to a private registry?","Push to registry using ""docker push localhost:5000/my-image"""
"What command lists images in a private registry catalog?","curl -X GET http://localhost:5000/v2/_catalog"
"What JSON format does the registry catalog return?","{""repositories"": [""my-image""]}"
"What command pulls an image from a private registry on the same host?","docker pull localhost:5000/my-image"
"What command pulls an image from a private registry on another host with IP 192.168.1.100?","docker pull 192.168.1.100:5000/my-image"
"What command tags a local image for an internal company registry?","docker image tag my-app registry.company.com:5000/my-app"
"What command pushes to a company registry?","docker push registry.company.com:5000/my-app"
"What command pulls from a company registry?","docker pull registry.company.com:5000/my-app"
"What are the three main components of Docker?","Docker Daemon Docker REST API and Docker CLI"
"What is the Docker Daemon?","A background process that manages Docker objects and handles container operations"
"What four types of objects does the Docker Daemon manage?","Images Containers Volumes and Networks"
"What is the Docker REST API?","An interface for communication that provides HTTP endpoints"
"What uses the Docker REST API?","CLI and other tools"
"What is the Docker CLI?","A command-line tool (docker command) that communicates with daemon via REST API"
"Can the Docker CLI be remote or local?","Yes it can be both remote or local"
"What command runs nginx on a remote Docker host at IP 10.123.2.1?","docker -H=10.123.2.1:2375 run nginx"
"What does the ""-H"" flag specify in Docker commands?","Specifies the remote host"
"What port is specified for the remote Docker daemon in the example?","2375"
"What command lists containers on a remote Docker host?","docker -H=remote-docker:2375 ps"
"What command runs a Redis container on a remote host in detached mode?","docker -H=remote-docker:2375 run -d redis"
"What command pulls Ubuntu image on a remote host?","docker -H=remote-docker:2375 pull ubuntu"
"What Linux kernel features does Docker use for isolation?","Linux Namespaces and Control Groups (cgroups)"
"What PID does nginx have inside a container according to the PID namespace example?","PID 1"
"What PID does nginx have on the host system in the PID namespace example?","PID 5"
"How many PIDs does a container process have?","Two PIDs - one inside container namespace and one on host namespace"
"What does the container think about its root process?","The container thinks it's the root process (PID 1)"
"What command verifies the nginx PID on the host?","ps aux | grep nginx"
"What command verifies the nginx PID inside the container?","docker exec tainer> ps aux"
"What does the Network namespace provide?","Separate network stack"
"What does the Mount namespace provide?","Separate filesystem mount points"
"What does the IPC namespace provide?","Inter-process communication isolation"
"What does the UTS namespace provide?","Hostname and domain name isolation"
"What does the User namespace provide?","User and group ID isolation"
"What are cgroups used for in Docker?","Control groups limit resource usage per container"
"What command sets a CPU limit to 50% of one CPU core for Ubuntu container?","docker run --cpus=0.5 ubuntu"
"What does ""--cpus=0.5"" mean?","Limit to 50% of one CPU core"
"What does the CPU limit ensure?","Ensures fair resource sharing and container cannot exceed this limit"
"What command sets a memory limit to 100 megabytes for Ubuntu container?","docker run --memory=100m ubuntu"
"What happens if a container exceeds its memory limit?","Container is killed (OOM - Out Of Memory)"
"What does the memory limit prevent?","Prevents memory exhaustion"
"What command runs nginx with both CPU and memory limits?","docker run --cpus=0.5 --memory=512m nginx"
"What command views resource usage of containers?","docker stats"
"What columns are displayed in docker stats output?","CONTAINER ID NAME CPU % MEM USAGE / LIMIT MEM %"
"What is Docker Toolbox?","Original Docker support using VirtualBox for Windows and Mac"
"What are the components of Docker Toolbox?","Oracle VirtualBox Boot2Docker (lightweight Linux VM) Docker Engine Docker Machine Docker Compose and Kitematic (GUI)"
"What are the requirements for Docker Toolbox?","64-bit Windows 7 or higher and Virtualization enabled in BIOS"
"What are the three limitations of Docker Toolbox?","Legacy/older approach Uses VirtualBox (performance overhead) and Only runs Linux containers"
"What virtualization technology does Docker Toolbox use?","Oracle VirtualBox"
"What is Boot2Docker?","A lightweight Linux VM used in Docker Toolbox"
"What is Docker Desktop for Windows?","Modern Docker using native Windows virtualization (Hyper-V)"
"What are the Windows version requirements for Docker Desktop?","Windows 10 Pro Enterprise or Education; or Windows Server 2016 or higher"
"What are the hardware requirements for Docker Desktop for Windows?","Hyper-V support (enabled) and 64-bit processor with SLAT"
"What are three advantages of Docker Desktop for Windows?","Native integration Better performance and Native filesystem access"
"Can VirtualBox and Hyper-V coexist?","No VirtualBox and Hyper-V cannot coexist"
"What virtualization technology does Docker Desktop for Windows use?","Microsoft Hyper-V"
"What are Windows containers?","Native Windows containers that run on Windows hosts"
"What command runs a Windows Server Container?","docker run microsoft/windowsservercore"
"What are the characteristics of Windows Server Containers?","Shares kernel with host Similar to Linux containers and Lightweight isolation"
"What command runs a Hyper-V Container?","docker run --isolation=hyperv microsoft/nanoserver"
"What are the characteristics of Hyper-V Containers?","Each container in own VM Complete kernel isolation and Better security boundaries"
"What is the base image for Windows Server Core?","microsoft/windowsservercore"
"What are the characteristics of Windows Server Core base image?","Full Windows Server features and Larger size (~10GB)"
"Is Windows Server Core compatible with most apps?","Yes it is compatible with most apps"
"What is the base image for Nano Server?","microsoft/nanoserver"
"What are the characteristics of Nano Server base image?","Minimal Windows Server Smaller size (~400MB) Headless deployment and Similar to Alpine Linux"
"How do you switch from Linux containers to Windows containers in Docker Desktop?","Right-click Docker icon and select ""Switch to Windows containers"""
"What command verifies Windows container functionality?","docker run microsoft/nanoserver cmd /c echo ""Hello Windows"""
"What is Docker Desktop for Mac?","Docker on macOS using native virtualization"
"What are the requirements for Docker Toolbox on Mac?","macOS 10.8 or newer"
"What virtualization technology does Docker Desktop for Mac use?","HyperKit (native macOS hypervisor)"
"What are the requirements for Docker Desktop for Mac (Modern)?","macOS Sierra 10.12 or newer and 2010 or newer Mac hardware"
"Do native Mac containers exist?","No native Mac containers do not exist"
"What type of containers does Docker Desktop for Mac run?","All containers are Linux-based"
"What hypervisor does Docker Desktop for Mac use?","HyperKit (native virtualization)"
"What is Container Orchestration?","Automated management of containerized applications at scale"
"What is the first problem without orchestration?","Manual Scaling - need to manually run docker run for each instance"
"What is the second problem without orchestration?","No Health Monitoring - if container fails must manually restart with no automatic failover"
"What is the third problem without orchestration?","No Load Balancing - manual port mapping and manual configuration"
"What is the fourth problem without orchestration?","Manual Resource Management - no automatic host selection and no resource optimization"
"What do Container Orchestration tools automate?","Deployment scaling and management of containerized applications"
"What are seven features of Container Orchestration solutions?","Automatic scaling Health monitoring and self-healing Load balancing Service discovery Rolling updates Resource optimization and Multi-host networking"
"What are the characteristics of Docker Swarm?","Native Docker orchestration Easy to set up and Limited features"
"What are the characteristics of Kubernetes?","Most popular Feature-rich Industry standard and Cloud provider support"
"What are the characteristics of Apache Mesos?","Complex setup Advanced features and Less common"
"What is Docker Swarm?","Docker's native clustering and orchestration tool"
"What are the two types of nodes in Docker Swarm?","Manager Node and Worker Node"
"What does the Manager Node do in Docker Swarm?","Orchestration and Scheduling"
"What is Step 1 to initialize a Docker Swarm Manager?","docker swarm init --advertise-addr 192.168.1.100"
"What does ""--advertise-addr"" specify in swarm init?","Manager IP address"
"What does ""docker swarm init"" return?","A join token for workers"
"What is the output message after successful swarm initialization?","""Swarm initialized: current node (abc123...) is now a manager."""
"What is Step 2 to add worker nodes to the swarm?","Run ""docker swarm join --token SWMTKN-1-xyz... 192.168.1.100:2377"" on each worker node"
"What is the output message when a node successfully joins as a worker?","""This node joined a swarm as a worker."""
"What do Docker Services manage?","Containerized applications in swarm mode"
"What command creates a service with 3 replicas named web-app?","docker service create --replicas=3 --name web-app nodejs-app"
"What does ""--replicas=3"" mean in service creation?","Run 3 instances"
"What four things happen when a service is created?","Swarm manager schedules containers Distributes across worker nodes Monitors health and Maintains desired state (replicas)"
"What command lists all Docker services?","docker service ls"
"What columns appear in docker service ls output?","ID NAME MODE REPLICAS IMAGE"
"What command lists service tasks (containers) for web-app service?","docker service ps web-app"
"What columns appear in docker service ps output?","ID NAME NODE STATE IMAGE"
"What command scales web-app service to 5 replicas?","docker service scale web-app=5"
"What does Auto-Healing do in Docker Swarm?","If container fails swarm restarts it; If node fails swarm reschedules containers"
"What is Kubernetes?","Open-source container orchestration platform for automating deployment scaling and management"
"What are nine key features of Kubernetes?","Automatic scaling (up/down) Self-healing Load balancing Rolling updates/rollbacks Secret management Service discovery Storage orchestration"
"What command runs a single instance with Docker?","docker run nodejs-app"
"What are the characteristics of ""docker run nodejs-app""?","Runs single instance Manual scaling and No auto-restart"
"What command runs 1000 instances with Kubernetes?","kubectl run --replicas=1000 nodejs-app"
"What are the characteristics of Kubernetes deployment?","Runs multiple instances Automatic distribution and Self-healing"
"What command scales to 2000 instances in Kubernetes?","kubectl scale --replicas=2000 nodejs-app"
"What are the characteristics of Kubernetes scaling?","Instant scaling to desired number and Automatic distribution across nodes"
"What command performs a rolling update in Kubernetes?","kubectl rolling-update nodejs-app --image=nodejs-app:v2"
"What are the characteristics of Kubernetes rolling update?","Updates one instance at a time and Zero downtime"
"What command performs a rollback in Kubernetes?","kubectl rollback nodejs-app"
"What are the characteristics of Kubernetes rollback?","Reverts to previous version and Automatic"
"What are the four components of a Kubernetes Master Node?","API Server etcd Scheduler and Controller Manager"
"What is the Kubernetes API Server?","Front-end for Kubernetes that provides RESTful API and handles all communication"
"What is etcd in Kubernetes?","Distributed key-value store that stores all cluster data and maintains cluster state"
"What does the Kubernetes Scheduler do?","Assigns pods to nodes considers resource requirements and respects constraints"
"What does the Controller Manager do in Kubernetes?","Maintains desired state"
"What are three types of controllers in the Controller Manager?","Node Controller Replication Controller and Endpoints Controller"
"What are the three components of a Kubernetes Worker Node?","Kubelet Container Runtime and Kube-proxy"
"What is Kubelet?","Agent running on each node that communicates with API server and manages pods and containers"
"What is the Container Runtime in Kubernetes?","Software that runs containers (Docker containerd CRI-O) pulls images and starts/stops containers"
"What three container runtimes can Kubernetes use?","Docker containerd and CRI-O"
"What does Kube-proxy do?","Network proxy Load balancing and Service discovery"
"What command runs an application with 100 replicas in Kubernetes?","kubectl run my-app --image=my-app --replicas=100"
"What does ""kubectl run"" do?","Creates a deployment"
"What does ""--image=my-app"" specify?","Container image to use"
"What does ""--replicas=100"" specify?","Number of instances to run"
"What command scales a deployment to 200 replicas?","kubectl scale --replicas=200 deployment/my-app"
"What command displays cluster information?","kubectl cluster-info"
"What command lists all nodes?","kubectl get nodes"
"What command lists all pods?","kubectl get pods"
"What command lists all services?","kubectl get services"
"What are the three Docker Basics topics covered in the course?","What containers are How Docker works and Container vs VM"
"What are the three Docker Commands topics covered?","Running containers Managing images and Networking and storage"
"What are the three Building Images topics covered?","Dockerfile creation Layered architecture and Best practices"
"What are the three Docker Compose topics covered?","Multi-container applications YAML configuration and Service orchestration"
"What are the three Advanced Concepts covered?","Docker storage Networking and Registry management"
"What are the three Orchestration topics covered?","Docker Swarm basics Kubernetes introduction and Production considerations"
"What five further learning topics are recommended?","Docker Swarm advanced course Kubernetes for beginners Kubernetes certification Ansible/Chef/Puppet and CI/CD with Docker"
"What are four resources recommended for further learning?","KodeKloud (kodekloud.com) Docker Documentation (docs.docker.com) Kubernetes Documentation (kubernetes.io) and Practice labs and hands-on exercises"
"What command checks Ubuntu version?","cat /etc/lsb-release"
"What command removes old Docker versions?","sudo apt-get remove docker docker-engine docker.io containerd runc"
"What two commands install Docker via convenience script?","curl -fsSL https://get.docker.com -o get-docker.sh; sudo sh get-docker.sh"
